Gender,Branch,Average GPA,Backlogs,Attendance (%),Skills,Certifications,Internship Domain,Job Role,Company Tier,English Proficiency Score,Hackathons Participated,Interview Performance (1-10),Soft Skills Rating (1-10),Offer Type,CTC (LPA)
Male,IT,7.15,0,75.81,"SQL, C++, DSA, DL",Google Cloud,Cloud,Data Scientist,Tier 1,8.9,2,5.1,6.2,PPO,34.87
Male,EEE,6.41,2,88.52,"Java, Python, ML",Google Cloud,AI/ML,SDE,Tier 2,9.2,1,8.3,8.0,On-campus,33.42
Male,CIVIL,7.2,0,82.56,"AWS, ML, CSS, C++",Google Cloud,Web Dev,SDE,Tier 2,5.2,0,6.1,5.4,On-campus,31.39
Female,CSE,8.55,2,81.53,"DL, Python, ML",AWS Certified,AI/ML,QA Engineer,Tier 3,8.4,1,6.7,5.4,PPO,24.49
Male,ECE,8.1,1,89.17,"SQL, HTML, DL",AWS Certified,Data Analytics,SDE,Tier 1,8.6,3,4.9,7.4,Off-campus,34.61
Male,MECH,7.26,0,74.31,"C++, HTML",AWS Certified,Cybersecurity,Data Scientist,Tier 3,7.8,1,6.4,7.4,PPO,24.38
Male,CSE,7.26,1,73.09,"Java, CSS, HTML",Google Cloud,Cybersecurity,Data Scientist,Tier 1,8.1,3,4.6,8.6,Off-campus,32.97
Female,CSE,7.27,1,80.82,"HTML, SQL",AWS Certified,AI/ML,DevOps Engineer,Tier 1,8.0,5,7.2,8.5,On-campus,43.27
Male,EEE,8.95,1,92.55,"DSA, CSS, C++, HTML",DataCamp DS,AI/ML,SDE,Tier 2,8.4,2,4.6,8.0,On-campus,32.02
Male,CIVIL,7.77,0,81.12,"HTML, SQL, AWS",AWS Certified,IoT,Business Analyst,Tier 2,6.4,2,8.7,6.7,Off-campus,35.07
Female,MECH,7.8,0,96.19,"HTML, AWS, CSS, ML",Coursera ML,AI/ML,Business Analyst,Tier 3,8.7,3,7.4,9.3,PPO,29.58
Male,IT,8.22,1,93.41,"Java, AWS",AWS Certified,IoT,QA Engineer,Tier 3,7.7,4,8.3,7.7,On-campus,33.05
Male,IT,7.67,0,86.98,"CSS, HTML, AWS",AWS Certified,Data Analytics,DevOps Engineer,Tier 3,7.6,2,6.5,9.9,Off-campus,27.51
Male,ECE,7.32,2,87.38,"AWS, HTML",AWS Certified,Data Analytics,Business Analyst,Tier 1,8.1,4,6.3,8.9,Off-campus,40.37
Male,MECH,7.36,1,86.97,"ML, HTML, C++",AWS Certified,Web Dev,QA Engineer,Tier 3,6.2,3,4.6,4.3,PPO,20.22
Male,IT,7.45,0,86.12,"C++, Java, DL",Coursera ML,AI/ML,SDE,Tier 1,5.9,5,7.1,5.9,Off-campus,36.08
Female,ECE,7.47,0,82.44,"DL, SQL",None,Web Dev,DevOps Engineer,Tier 1,7.4,3,7.1,7.4,Off-campus,39.94
Female,CIVIL,8.01,1,83.25,"AWS, DL, DSA, C++",AWS Certified,Cloud,DevOps Engineer,Tier 1,9.0,5,6.8,8.3,PPO,41.84
Female,ECE,7.54,1,77.51,"AWS, CSS",DataCamp DS,Data Analytics,Data Scientist,Tier 1,6.3,2,8.4,7.3,On-campus,40.79
Male,IT,8.01,0,69.53,"HTML, C++, DL",Coursera ML,Cybersecurity,SDE,Tier 1,7.7,4,9.0,8.7,On-campus,40.78
Male,EEE,7.44,0,92.73,"SQL, C++, AWS",None,IoT,DevOps Engineer,Tier 2,6.8,3,8.5,5.7,On-campus,33.19
Male,EEE,7.56,0,86.1,"Python, Java, C++",AWS Certified,Cloud,QA Engineer,Tier 1,6.6,2,4.9,5.1,Off-campus,33.25
Female,EEE,6.1,0,85.04,"Python, SQL, C++",None,Cybersecurity,Business Analyst,Tier 1,8.0,5,7.7,4.3,Off-campus,35.61
Male,IT,8.14,0,87.79,"C++, HTML",DataCamp DS,Cloud,SDE,Tier 2,8.3,3,4.5,7.4,PPO,32.96
Male,EEE,7.74,4,79.2,"SQL, C++",Coursera ML,Web Dev,SDE,Tier 2,6.7,5,8.2,8.1,Off-campus,31.22
Female,MECH,8.2,1,77.99,"DL, Java",Coursera ML,Web Dev,DevOps Engineer,Tier 2,8.9,1,6.3,6.0,Off-campus,30.05
Male,CIVIL,5.47,4,83.01,"SQL, DSA",None,IoT,DevOps Engineer,Tier 3,7.9,5,4.8,7.7,On-campus,23.97
Female,ECE,8.96,0,94.58,"HTML, CSS, DSA, SQL",AWS Certified,Data Analytics,DevOps Engineer,Tier 3,7.3,1,9.2,4.3,Off-campus,23.82
Female,ECE,7.4,0,76.82,"AWS, DSA",Google Cloud,IoT,QA Engineer,Tier 1,7.8,2,7.7,4.6,Off-campus,34.4
Female,IT,8.28,1,66.61,"Python, AWS, SQL, ML",Coursera ML,Cybersecurity,Data Scientist,Tier 1,9.5,3,6.1,8.2,Off-campus,39.98
Male,EEE,6.77,2,81.35,"CSS, C++, DSA",Google Cloud,Cloud,DevOps Engineer,Tier 1,8.3,2,4.2,6.2,PPO,33.01
Male,EEE,7.93,4,93.0,"SQL, CSS",Coursera ML,IoT,Data Scientist,Tier 1,6.8,0,7.2,8.0,Off-campus,41.23
Male,CSE,6.76,2,72.87,"C++, SQL",AWS Certified,AI/ML,Data Scientist,Tier 2,7.5,5,9.5,9.0,PPO,41.52
Male,CIVIL,7.06,1,76.74,"Python, DL, C++, Java",AWS Certified,AI/ML,SDE,Tier 3,7.6,2,7.6,9.1,On-campus,30.81
Male,MECH,8.84,0,86.84,"SQL, DL, Java, DSA",Coursera ML,Data Analytics,Business Analyst,Tier 2,8.2,2,9.8,5.0,Off-campus,37.13
Male,ECE,7.37,1,100.0,"HTML, SQL, CSS, ML",None,IoT,Business Analyst,Tier 3,7.7,1,4.8,6.9,PPO,24.23
Male,CSE,7.65,0,75.49,"AWS, DL, DSA, C++",AWS Certified,Cybersecurity,QA Engineer,Tier 2,9.4,5,7.4,8.4,On-campus,30.75
Female,CSE,8.11,1,75.22,"HTML, DSA, SQL, CSS",AWS Certified,AI/ML,QA Engineer,Tier 1,7.3,1,8.8,8.6,Off-campus,38.71
Male,IT,7.85,1,87.37,"DSA, CSS, DL",DataCamp DS,Data Analytics,Business Analyst,Tier 3,5.8,3,7.2,8.7,PPO,29.24
Female,ECE,7.61,0,93.43,"CSS, ML, SQL, HTML",AWS Certified,IoT,Business Analyst,Tier 1,7.7,2,4.5,5.4,PPO,34.25
Male,IT,7.76,0,80.63,"ML, HTML",DataCamp DS,Data Analytics,SDE,Tier 3,7.1,5,7.5,5.2,On-campus,28.69
Male,MECH,9.18,1,73.65,"HTML, DSA, AWS",AWS Certified,Cybersecurity,SDE,Tier 3,6.0,2,7.7,7.5,Off-campus,27.61
Male,CSE,7.46,1,88.04,"AWS, ML, Java, DSA",AWS Certified,AI/ML,Business Analyst,Tier 1,6.8,3,8.4,8.4,Off-campus,42.7
Female,CSE,7.64,0,89.3,"Python, Java",None,AI/ML,DevOps Engineer,Tier 1,7.1,4,8.6,5.9,Off-campus,42.85
Female,CIVIL,8.24,2,97.45,"Java, CSS, DL",None,AI/ML,DevOps Engineer,Tier 1,8.6,3,8.6,4.6,PPO,41.46
Female,MECH,8.27,0,89.6,"DSA, Python",AWS Certified,Web Dev,SDE,Tier 2,6.0,1,8.0,8.3,Off-campus,36.62
Female,CSE,8.33,0,90.8,"SQL, C++",Coursera ML,AI/ML,Data Scientist,Tier 3,7.8,1,5.3,5.8,PPO,23.48
Male,MECH,7.95,1,83.16,"CSS, AWS, C++",Coursera ML,Cloud,Business Analyst,Tier 3,9.7,2,6.4,5.0,PPO,28.71
Female,ECE,6.7,0,100.0,"CSS, DSA, Java",AWS Certified,Web Dev,QA Engineer,Tier 3,7.3,1,8.7,4.9,On-campus,28.34
Male,EEE,8.64,0,82.21,"SQL, CSS, Java, AWS",Coursera ML,IoT,DevOps Engineer,Tier 1,7.3,5,9.7,5.9,PPO,43.44
Male,CSE,6.7,0,80.72,"SQL, HTML, C++",AWS Certified,Web Dev,Data Scientist,Tier 3,8.2,3,4.5,7.6,On-campus,25.33
Female,CIVIL,7.71,2,97.67,"Java, ML, DSA, C++",None,Web Dev,DevOps Engineer,Tier 3,8.0,2,7.2,6.2,On-campus,27.55
Female,ECE,6.97,1,74.68,"AWS, CSS, DSA",Google Cloud,Web Dev,Data Scientist,Tier 1,8.9,3,5.9,4.1,Off-campus,32.94
Female,MECH,7.46,0,72.07,"SQL, C++",DataCamp DS,Data Analytics,Business Analyst,Tier 1,7.3,3,5.4,4.6,On-campus,33.71
Female,IT,7.73,3,85.84,"ML, HTML",Coursera ML,Cloud,Business Analyst,Tier 3,8.2,2,7.0,5.7,Off-campus,29.21
Female,ECE,7.72,0,84.99,"Java, SQL, ML",Coursera ML,Cybersecurity,Business Analyst,Tier 2,8.2,4,7.6,8.0,On-campus,34.46
Female,CSE,7.8,1,83.4,"Java, SQL",None,AI/ML,SDE,Tier 1,7.2,1,4.1,4.6,PPO,33.24
Female,MECH,8.63,1,91.96,"HTML, CSS, DL",Coursera ML,Web Dev,Data Scientist,Tier 2,7.4,0,8.7,7.4,Off-campus,36.98
Female,EEE,7.82,1,78.64,"CSS, Java, DL, C++",AWS Certified,Cybersecurity,QA Engineer,Tier 2,7.5,0,8.9,4.7,PPO,32.95
Male,ECE,7.33,0,85.45,"DSA, HTML",AWS Certified,Data Analytics,QA Engineer,Tier 2,6.3,0,9.8,5.3,Off-campus,37.37
Female,CSE,8.17,1,82.48,"DL, ML, DSA, Java",Google Cloud,Cybersecurity,Business Analyst,Tier 2,7.1,1,5.1,5.0,PPO,27.66
Female,CIVIL,8.33,1,78.76,"CSS, C++",Google Cloud,Web Dev,QA Engineer,Tier 1,9.0,4,7.6,4.4,On-campus,41.46
Male,IT,6.64,0,84.57,"CSS, AWS",Google Cloud,IoT,DevOps Engineer,Tier 3,8.5,3,6.6,8.0,Off-campus,28.99
Female,MECH,7.92,0,90.97,"DSA, CSS",AWS Certified,Cloud,Data Scientist,Tier 3,6.9,2,6.0,6.8,Off-campus,26.05
Male,ECE,7.99,0,99.84,"C++, CSS, DL",Google Cloud,Cybersecurity,Data Scientist,Tier 1,7.5,4,7.4,9.0,Off-campus,38.82
Male,ECE,7.29,1,89.06,"SQL, Python, ML, DL",Google Cloud,Web Dev,Data Scientist,Tier 1,8.5,0,8.7,4.6,On-campus,38.14
Female,EEE,8.46,2,67.42,"C++, HTML",AWS Certified,Web Dev,DevOps Engineer,Tier 2,7.9,5,4.1,4.9,PPO,28.06
Male,EEE,7.39,1,84.73,"DSA, C++, AWS, DL",None,AI/ML,SDE,Tier 2,8.3,1,9.8,5.8,On-campus,33.56
Male,CIVIL,7.59,1,85.35,"SQL, ML, DSA, Python",Coursera ML,IoT,DevOps Engineer,Tier 1,8.0,1,8.9,8.6,On-campus,41.23
Male,IT,7.38,0,91.55,"DL, ML",DataCamp DS,AI/ML,Data Scientist,Tier 3,7.7,2,8.5,5.8,On-campus,27.57
Male,CIVIL,7.51,3,86.29,"ML, C++",AWS Certified,IoT,Data Scientist,Tier 2,7.3,5,8.6,6.5,PPO,36.8
Female,CSE,6.73,1,93.77,"ML, C++, AWS, HTML",AWS Certified,Cloud,Data Scientist,Tier 1,6.3,3,6.3,5.8,On-campus,37.91
Male,CSE,6.49,1,87.74,"SQL, DL",DataCamp DS,AI/ML,QA Engineer,Tier 1,8.2,4,8.5,4.5,Off-campus,36.17
Female,CIVIL,8.62,1,95.91,"DL, CSS",DataCamp DS,Cloud,SDE,Tier 1,7.3,5,6.3,9.6,On-campus,43.32
Male,IT,6.91,0,81.93,"DSA, SQL",Google Cloud,Data Analytics,DevOps Engineer,Tier 2,5.9,4,9.4,7.3,PPO,35.97
Male,CIVIL,6.81,1,86.01,"CSS, SQL, ML",DataCamp DS,Data Analytics,Data Scientist,Tier 1,7.0,4,5.1,8.7,Off-campus,34.19
Male,IT,5.99,0,90.79,"HTML, ML, SQL",Coursera ML,IoT,Business Analyst,Tier 3,8.4,3,5.8,8.0,PPO,28.07
Male,IT,7.05,0,80.99,"AWS, CSS, SQL, Python",Coursera ML,IoT,SDE,Tier 1,5.6,3,7.3,7.1,On-campus,36.69
Female,MECH,6.57,2,79.47,"DL, HTML, CSS, DSA",Coursera ML,AI/ML,Business Analyst,Tier 2,6.5,3,5.9,4.5,PPO,28.62
Female,IT,8.65,2,80.59,"SQL, CSS, DSA, HTML",Coursera ML,Data Analytics,SDE,Tier 3,7.6,2,6.5,7.9,Off-campus,27.44
Male,EEE,8.21,2,79.76,"DSA, C++, Python",Coursera ML,Cybersecurity,Data Scientist,Tier 3,8.9,1,7.0,4.9,PPO,25.26
Male,IT,7.02,0,88.66,"CSS, DSA, Python, Java",Google Cloud,Cybersecurity,SDE,Tier 1,8.5,0,9.1,6.5,Off-campus,41.56
Female,IT,9.08,2,72.16,"AWS, Python, DL, SQL",AWS Certified,Cybersecurity,SDE,Tier 1,9.0,3,7.1,7.8,Off-campus,39.58
Male,IT,8.19,0,74.11,"DL, C++, DSA",DataCamp DS,Data Analytics,Data Scientist,Tier 3,7.7,1,6.2,8.7,On-campus,24.99
Male,CSE,7.27,0,98.04,"AWS, DL, CSS, ML",AWS Certified,Cybersecurity,Business Analyst,Tier 1,7.3,3,5.5,8.1,On-campus,37.48
Male,EEE,5.75,0,79.92,"DL, SQL, CSS",DataCamp DS,Cloud,Business Analyst,Tier 2,8.3,0,6.5,8.0,Off-campus,29.13
Female,EEE,9.1,1,86.4,"Python, AWS, CSS, DSA",Google Cloud,Web Dev,QA Engineer,Tier 3,6.6,5,7.1,4.9,PPO,25.46
Female,CIVIL,6.53,0,74.58,"SQL, ML, AWS, Java",Google Cloud,IoT,Business Analyst,Tier 1,6.5,3,8.5,6.1,Off-campus,41.17
Female,MECH,6.35,1,85.66,"AWS, ML, HTML, Python",None,AI/ML,Business Analyst,Tier 3,6.3,1,4.7,4.3,On-campus,18.66
Male,IT,8.22,1,79.97,"Java, CSS",None,Cloud,SDE,Tier 1,8.6,2,5.3,8.3,PPO,32.28
Male,ECE,9.21,0,74.06,"CSS, Java",Google Cloud,Cybersecurity,QA Engineer,Tier 1,6.7,5,6.3,9.7,Off-campus,41.27
Female,MECH,8.47,0,94.36,"ML, DSA, DL",Google Cloud,Web Dev,Data Scientist,Tier 2,8.5,5,6.2,5.6,On-campus,31.75
Female,MECH,7.89,0,93.28,"ML, Java, AWS, Python",DataCamp DS,AI/ML,Data Scientist,Tier 1,7.6,5,6.4,4.5,Off-campus,35.8
Female,EEE,7.92,0,84.25,"ML, Python, C++, AWS",Google Cloud,Cloud,DevOps Engineer,Tier 1,8.6,0,8.8,6.9,Off-campus,39.8
Female,MECH,8.1,2,92.0,"CSS, Java, C++",AWS Certified,AI/ML,QA Engineer,Tier 1,6.4,1,5.9,9.1,Off-campus,37.59
Male,IT,8.03,2,98.32,"CSS, C++, AWS",DataCamp DS,IoT,SDE,Tier 2,6.9,4,7.0,7.3,PPO,32.08
Female,IT,7.7,0,90.28,"HTML, Java, SQL, C++",Google Cloud,Data Analytics,DevOps Engineer,Tier 1,8.0,4,7.7,4.3,On-campus,40.76
Male,CSE,7.57,0,88.36,"Python, C++, HTML",DataCamp DS,Cybersecurity,DevOps Engineer,Tier 1,7.1,4,5.4,9.8,On-campus,34.83
Female,IT,7.46,0,86.39,"SQL, C++",DataCamp DS,Cloud,Data Scientist,Tier 1,5.0,2,8.3,9.0,Off-campus,40.97
Male,IT,6.97,2,89.55,"SQL, Java",Coursera ML,Cloud,Business Analyst,Tier 3,6.1,3,7.3,4.8,Off-campus,27.42
Female,EEE,7.3,0,82.45,"ML, C++",None,Web Dev,SDE,Tier 2,6.4,3,6.7,9.5,Off-campus,32.29
Female,IT,6.31,4,83.06,"DSA, AWS, CSS, DL",DataCamp DS,Web Dev,QA Engineer,Tier 3,6.5,3,8.9,6.7,PPO,27.65
Female,CSE,7.43,1,88.16,"ML, AWS",DataCamp DS,Web Dev,DevOps Engineer,Tier 2,8.2,2,5.5,6.2,On-campus,32.22
Female,ECE,6.81,0,81.68,"HTML, DL",Coursera ML,AI/ML,SDE,Tier 2,7.8,4,9.3,6.8,Off-campus,34.45
Male,EEE,6.73,1,82.44,"C++, CSS, HTML, Python",Google Cloud,Cybersecurity,Data Scientist,Tier 3,7.7,5,7.4,9.0,On-campus,29.13
Female,ECE,7.63,0,85.0,"SQL, Python",DataCamp DS,AI/ML,DevOps Engineer,Tier 2,9.5,3,7.7,8.0,Off-campus,37.44
Male,EEE,8.47,2,93.05,"Python, SQL, CSS",Coursera ML,Cybersecurity,DevOps Engineer,Tier 2,8.7,5,9.3,4.4,On-campus,36.31
Male,CIVIL,8.14,0,77.07,"AWS, DL, Java, ML",AWS Certified,Cloud,Data Scientist,Tier 3,8.3,5,8.9,9.7,Off-campus,30.44
Male,MECH,6.4,0,90.31,"Java, AWS, SQL, HTML",Coursera ML,AI/ML,Data Scientist,Tier 1,6.0,2,7.6,4.9,PPO,39.52
Male,CIVIL,6.81,1,90.54,"DSA, DL",None,AI/ML,Data Scientist,Tier 2,7.6,2,8.5,8.5,Off-campus,34.68
Female,IT,8.16,2,90.5,"AWS, ML",None,AI/ML,SDE,Tier 3,7.8,1,6.6,7.8,Off-campus,27.05
Male,ECE,6.81,1,79.35,"Java, SQL, C++",Google Cloud,Data Analytics,SDE,Tier 2,7.1,3,7.3,5.1,Off-campus,32.18
Male,IT,7.34,0,73.15,"DSA, HTML, SQL, Python",Google Cloud,IoT,SDE,Tier 3,9.2,4,4.4,5.0,Off-campus,24.9
Male,MECH,7.89,3,88.92,"AWS, DL, CSS, Java",None,Cybersecurity,Business Analyst,Tier 1,7.6,0,4.5,9.2,Off-campus,39.1
Female,EEE,6.82,1,86.31,"SQL, ML",None,Cybersecurity,DevOps Engineer,Tier 2,6.3,2,9.0,6.5,On-campus,31.26
Female,MECH,7.57,2,92.03,"HTML, DL, SQL",DataCamp DS,AI/ML,SDE,Tier 1,6.5,5,4.4,7.9,On-campus,36.67
Female,CSE,6.57,0,80.1,"AWS, CSS",None,Data Analytics,Business Analyst,Tier 1,9.8,1,5.0,7.0,PPO,36.39
Female,MECH,7.08,1,90.32,"ML, DL, C++, SQL",Google Cloud,AI/ML,DevOps Engineer,Tier 3,7.1,0,8.8,8.4,Off-campus,30.19
Male,CSE,7.72,0,92.38,"DL, Python",None,Cybersecurity,SDE,Tier 2,5.4,2,4.0,6.9,On-campus,29.02
Male,MECH,6.38,0,84.33,"C++, HTML",Google Cloud,IoT,Data Scientist,Tier 2,6.9,1,5.7,5.7,On-campus,30.66
Female,CSE,7.81,3,87.92,"AWS, DL, CSS, Java",AWS Certified,IoT,QA Engineer,Tier 2,5.7,5,7.5,6.2,Off-campus,30.51
Male,ECE,7.49,2,87.67,"DL, DSA, HTML, SQL",None,Cloud,SDE,Tier 2,8.4,3,7.6,9.2,Off-campus,39.34
Male,IT,7.89,0,79.25,"HTML, Java, AWS, DL",Google Cloud,Data Analytics,QA Engineer,Tier 2,5.5,1,8.7,6.8,PPO,31.14
Male,IT,7.66,0,88.72,"CSS, ML, AWS",Coursera ML,IoT,SDE,Tier 3,6.1,2,7.0,5.3,PPO,23.81
Female,CIVIL,8.45,2,96.36,"AWS, Java",DataCamp DS,Data Analytics,Data Scientist,Tier 2,7.5,3,7.1,9.6,On-campus,34.97
Female,IT,7.59,0,85.16,"AWS, Java",Google Cloud,AI/ML,QA Engineer,Tier 1,8.6,5,8.4,8.8,PPO,46.34
Male,EEE,7.2,1,74.77,"DSA, AWS, HTML, Java",None,Cloud,Business Analyst,Tier 1,7.4,4,7.0,4.3,On-campus,35.65
Female,MECH,7.59,2,80.19,"Java, HTML",None,Cybersecurity,Data Scientist,Tier 2,6.2,1,7.7,10.0,PPO,35.06
Female,CIVIL,7.88,0,72.54,"AWS, DSA, C++",AWS Certified,IoT,QA Engineer,Tier 3,7.7,0,9.4,8.2,Off-campus,34.72
Female,EEE,7.53,2,94.03,"DL, AWS, DSA, ML",Coursera ML,IoT,QA Engineer,Tier 3,7.0,5,6.4,5.0,PPO,25.56
Female,EEE,7.53,1,90.35,"AWS, HTML",Google Cloud,Web Dev,Data Scientist,Tier 2,8.6,3,6.3,5.4,On-campus,28.98
Female,CSE,7.01,1,81.49,"AWS, HTML, Python, C++",Coursera ML,Cybersecurity,Data Scientist,Tier 1,8.4,5,4.0,8.2,PPO,34.27
Male,IT,7.04,1,75.07,"C++, DSA",AWS Certified,IoT,Data Scientist,Tier 2,7.0,3,7.7,8.7,On-campus,37.6
Female,ECE,6.52,1,79.17,"C++, ML, AWS",DataCamp DS,IoT,DevOps Engineer,Tier 2,8.3,5,4.2,5.4,On-campus,28.3
Male,ECE,8.72,0,80.53,"C++, ML",Coursera ML,Cybersecurity,Business Analyst,Tier 2,7.8,4,7.0,5.5,PPO,36.89
Male,CIVIL,6.63,0,85.77,"DSA, ML",AWS Certified,Cloud,SDE,Tier 3,8.9,1,8.8,5.8,PPO,30.91
Female,ECE,7.01,1,85.53,"DL, SQL",Google Cloud,Data Analytics,QA Engineer,Tier 3,8.2,0,7.3,7.6,On-campus,26.77
Male,MECH,7.0,0,94.39,"Java, CSS, SQL, AWS",DataCamp DS,Cybersecurity,SDE,Tier 1,8.0,4,5.6,5.0,Off-campus,34.9
Male,ECE,8.13,0,80.15,"DL, SQL, CSS",None,Data Analytics,Data Scientist,Tier 1,8.8,1,8.7,4.6,PPO,37.45
Male,CIVIL,7.29,3,74.44,"ML, CSS, C++",AWS Certified,Cloud,Business Analyst,Tier 2,7.5,0,5.6,8.1,On-campus,29.38
Female,ECE,8.37,1,76.9,"CSS, C++, HTML, DSA",None,Cloud,Business Analyst,Tier 1,6.7,5,8.4,8.7,Off-campus,51.01
Female,MECH,7.03,2,84.84,"DSA, CSS",DataCamp DS,AI/ML,DevOps Engineer,Tier 2,7.7,0,7.7,7.0,On-campus,35.08
Male,CSE,7.7,1,79.9,"C++, CSS, ML, Java",AWS Certified,Web Dev,Data Scientist,Tier 1,7.1,2,5.0,6.2,PPO,35.85
Female,CIVIL,6.92,1,82.96,"CSS, Java, DL",AWS Certified,Cloud,QA Engineer,Tier 2,8.1,0,9.4,6.6,On-campus,34.17
Female,CSE,9.0,0,81.82,"SQL, Java",DataCamp DS,Cloud,DevOps Engineer,Tier 3,7.6,1,5.2,6.3,On-campus,28.19
Female,CSE,6.67,0,91.93,"DSA, CSS",Google Cloud,Data Analytics,Data Scientist,Tier 2,7.9,4,9.9,9.8,On-campus,41.6
Female,CSE,7.72,1,80.89,"CSS, SQL, DL, DSA",AWS Certified,Cloud,DevOps Engineer,Tier 3,6.3,4,4.0,8.6,PPO,28.36
Male,EEE,7.94,1,82.36,"SQL, DL, Python, DSA",DataCamp DS,Cybersecurity,SDE,Tier 3,8.0,2,5.6,5.2,Off-campus,28.48
Male,IT,7.79,0,90.02,"SQL, ML",Coursera ML,AI/ML,Data Scientist,Tier 1,6.2,1,5.2,6.3,Off-campus,30.93
Female,EEE,7.37,1,81.05,"Java, DSA",None,AI/ML,QA Engineer,Tier 1,8.5,0,4.1,7.3,Off-campus,31.13
Female,IT,7.41,0,87.96,"Java, DSA, DL, C++",AWS Certified,Cybersecurity,QA Engineer,Tier 3,8.5,2,8.4,7.7,Off-campus,28.69
Male,CSE,7.53,1,87.32,"C++, ML",Coursera ML,IoT,Data Scientist,Tier 2,7.8,5,8.2,6.8,PPO,33.56
Male,CIVIL,7.4,0,85.99,"ML, CSS, DSA, HTML",AWS Certified,Cloud,DevOps Engineer,Tier 2,7.8,3,8.8,8.9,On-campus,37.8
Female,IT,8.17,0,77.06,"DL, CSS, SQL, Python",Google Cloud,Web Dev,Business Analyst,Tier 1,7.3,5,5.5,8.6,Off-campus,36.64
Male,MECH,9.05,2,93.61,"DL, SQL",DataCamp DS,Cloud,Data Scientist,Tier 2,6.9,1,6.7,7.0,Off-campus,36.68
Female,MECH,7.11,1,100.0,"CSS, Python",AWS Certified,AI/ML,QA Engineer,Tier 2,7.5,2,8.0,9.1,PPO,39.33
Female,ECE,6.54,0,85.06,"Java, DSA, HTML, C++",DataCamp DS,Web Dev,SDE,Tier 2,9.5,4,6.6,8.5,On-campus,34.11
Male,IT,7.44,1,77.68,"C++, SQL, Java, Python",AWS Certified,IoT,QA Engineer,Tier 3,7.7,2,8.2,8.7,On-campus,34.7
Male,CIVIL,9.31,0,85.2,"DSA, CSS, Python",Google Cloud,Data Analytics,Business Analyst,Tier 3,6.2,3,7.8,9.7,Off-campus,34.5
Female,EEE,6.94,0,91.93,"ML, DSA",Google Cloud,Data Analytics,QA Engineer,Tier 2,5.8,1,4.7,5.6,Off-campus,26.16
Female,CSE,8.65,0,80.69,"CSS, Java",Coursera ML,Cloud,Business Analyst,Tier 1,6.1,2,8.7,5.6,On-campus,35.32
Male,ECE,8.67,1,84.1,"ML, CSS, DL, HTML",Google Cloud,Cloud,Data Scientist,Tier 2,7.1,5,8.3,9.3,PPO,37.2
Female,MECH,7.11,1,87.38,"Java, DSA, DL",DataCamp DS,Web Dev,QA Engineer,Tier 1,8.8,0,7.9,8.6,On-campus,38.66
Male,EEE,7.9,1,93.42,"C++, Java",Google Cloud,Web Dev,DevOps Engineer,Tier 3,6.5,5,4.9,9.6,On-campus,27.53
Female,EEE,8.64,0,90.43,"Python, DL, Java, ML",AWS Certified,IoT,DevOps Engineer,Tier 2,8.9,1,5.6,4.4,Off-campus,29.84
Male,CSE,7.23,2,90.72,"Python, CSS, DSA",Google Cloud,Cloud,QA Engineer,Tier 2,7.7,2,6.4,7.8,PPO,32.48
Male,IT,7.36,0,82.02,"CSS, AWS, SQL, Python",DataCamp DS,AI/ML,QA Engineer,Tier 1,8.0,5,5.7,4.9,PPO,36.41
Male,MECH,7.09,0,87.81,"AWS, HTML, DSA, SQL",AWS Certified,Data Analytics,SDE,Tier 1,8.0,2,5.4,7.0,PPO,32.92
Female,CIVIL,6.79,0,79.95,"ML, Java, CSS, HTML",Coursera ML,IoT,QA Engineer,Tier 2,8.1,5,8.8,4.9,Off-campus,35.59
Female,EEE,7.05,0,90.92,"Python, AWS, DSA",Coursera ML,Web Dev,SDE,Tier 2,7.1,1,7.8,4.8,PPO,30.85
Male,CSE,6.64,1,93.06,"HTML, ML",Coursera ML,AI/ML,SDE,Tier 1,5.2,4,7.4,4.1,PPO,35.97
Female,CIVIL,7.52,0,88.87,"ML, Java, C++",AWS Certified,Cloud,SDE,Tier 3,6.9,5,5.4,7.8,Off-campus,28.49
Male,IT,6.96,2,82.43,"AWS, DSA, C++",Coursera ML,Cybersecurity,SDE,Tier 1,6.6,0,9.5,6.2,On-campus,37.26
Male,MECH,7.66,0,83.57,"DL, ML",Google Cloud,Web Dev,Data Scientist,Tier 2,7.8,5,5.1,4.6,PPO,28.76
Female,IT,6.41,0,97.65,"AWS, HTML, SQL, C++",AWS Certified,IoT,DevOps Engineer,Tier 3,7.7,1,8.8,5.9,On-campus,28.68
Female,EEE,7.73,1,82.55,"Python, HTML, SQL, Java",AWS Certified,Cybersecurity,SDE,Tier 3,7.2,5,9.8,5.0,PPO,30.42
Male,CIVIL,8.08,0,92.35,"Java, CSS",AWS Certified,AI/ML,DevOps Engineer,Tier 3,9.3,0,8.4,9.7,On-campus,33.95
Female,CIVIL,6.1,1,87.37,"DSA, ML, HTML, AWS",None,Data Analytics,SDE,Tier 3,6.9,0,10.0,5.9,On-campus,28.5
Female,CIVIL,7.76,1,82.66,"ML, Java, C++",DataCamp DS,AI/ML,DevOps Engineer,Tier 2,5.3,1,7.9,6.0,Off-campus,31.24
Male,EEE,8.36,0,75.59,"Python, C++",None,Data Analytics,QA Engineer,Tier 3,7.6,2,5.3,9.0,Off-campus,25.65
